Anexo III,,,,,,,,,,,,,,,,
Tabela I,,,,,,,,,,,,,,,2285,
Tabela Nacional Grupos de Diagnóstico Homogéneo,,,,,,,,,,,,,,,,
All Patient Refined DRG,,,,,,,,,,,,,,,,
Preço base nacional,,2285,,,,,,,,,,,,,,
A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,
206,"Disfunção, reacção e/ou complicação de dispositivo ou procedimento em B.O., cardíaco ou vascular",3,M,1.5614,3567.799,-,-,1189.26633333333,-,2,44,65,14.56,-,-,
206,"Disfunção, reacção e/ou complicação de dispositivo ou procedimento em B.O., cardíaco ou vascular",4,M,3.9038,8920.183,-,-,2230.04575,-,3,48,71,19.18,-,-,
207,Outros diagnósticos do aparelho circulatório,1,M,0.4125,942.5625,-,-,471.28125,-,1,14,21,5.18,-,-,
207,Outros diagnósticos do aparelho circulatório,2,M,0.7455,1703.4675,-,-,851.73375,-,1,25,37,8.83,-,-,
207,Outros diagnósticos do aparelho circulatório,3,M,1.2254,2800.039,-,-,700.00975,-,3,36,53,13.53,-,-,
207,Outros diagnósticos do aparelho circulatório,4,M,2.2362,5109.717,-,-,1277.42925,-,3,42,62,12.85,-,-,
,,,,,,,,,,,,,,,-,
GCD 6,Doenças e Perturbações do Aparelho Digestivo,,,,,,,,,,,,,,-,
220,"Procedimentos major no estômago, esófago e/ou duodeno",1,C,1.2844,2934.854,1.2844,2934.854,-,-,1,19,28,8.54,2934.854,2934.854,
220,"Procedimentos major no estômago, esófago e/ou duodeno",2,C,2.2141,5059.2185,2.2141,5059.2185,-,-,1,26,38,12.95,5059.2185,5059.2185,
220,"Procedimentos major no estômago, esófago e/ou duodeno",3,C,4.3263,9885.5955,-,-,2470.6071621,7236.255906,4,51,75,21.61,6919.91685,-,
220,"Procedimentos major no estômago, esófago e/ou duodeno",4,C,10.8876,24878.166,-,-,3108.7745346,18210.817512,8,64,92,34.08,24878.166,-,
221,Procedimentos major no intestino delgado e/ou no intestino grosso,1,C,1.2983,2966.6155,1.2983,2966.6155,-,-,1,21,31,9.75,2414.74125030494,2247.41683048472,
221,Procedimentos major no intestino delgado e/ou no intestino grosso,2,C,1.8994,4340.129,1.8994,4340.129,-,-,1,32,47,14.3,4340.129,4340.129,
221,Procedimentos major no intestino delgado e/ou no intestino grosso,3,C,3.8802,8866.257,-,-,1772.68333872,6490.100124,5,53,77,23.99,6206.3799,-,
221,Procedimentos major no intestino delgado e/ou no intestino grosso,4,C,9.1575,20924.8875,-,-,2988.31203,15317.01765,7,61,88,31.89,20924.8875,-,
222,"Outros procedimentos no estômago, esófago e/ou duodeno",1,C,0.7184,1641.544,0.7184,1641.544,-,-,1,11,16,4.19,1969.8528,1641.544,
222,"Outros procedimentos no estômago, esófago e/ou duodeno",2,C,1.0527,2405.4195,1.0527,2405.4195,-,-,1,18,27,6.62,2405.4195,2405.4195,
222,"Outros procedimentos no estômago, esófago e/ou duodeno",3,C,2.821,6445.985,-,-,2147.97334266667,4718.46102,3,50,74,20.95,6445.985,-,
222,"Outros procedimentos no estômago, esófago e/ou duodeno",4,C,9.4321,21552.3485,-,-,2693.18052535,15776.319102,8,65,94,35.84,21552.3485,-,
223,Outros procedimentos no intestino delgado e/ou no intestino grosso,1,C,1.0418,2380.513,1.0418,2380.513,-,-,1,19,28,7.77,2380.513,2380.513,
223,Outros procedimentos no intestino delgado e/ou no intestino grosso,2,C,1.5761,3601.3885,1.5761,3601.3885,-,-,1,30,44,11.88,3601.3885,3601.3885,
223,Outros procedimentos no intestino delgado e/ou no intestino grosso,3,C,3.1957,7302.1745,-,-,1824.9588119,5345.191734,4,50,73,21.1,7302.1745,-,
223,Outros procedimentos no intestino delgado e/ou no intestino grosso,4,C,9.3557,21377.7745,-,-,3052.9894468,15648.530934,7,61,88,31.42,21377.7745,-,
224,Aderências peritoniais,1,C,1.1428,2611.298,1.1428,2611.298,-,-,1,20,29,8.59,2611.298,2611.298,
224,Aderências peritoniais,2,C,1.717,3923.345,-,-,1307.36271866667,2871.88854,3,33,48,13.15,3923.345,-,
224,Aderências peritoniais,3,C,2.946,6731.61,-,-,1682.363382,4927.53852,4,49,72,21.3,6731.61,-,
224,Aderências peritoniais,4,C,5.8765,13427.8025,-,-,3355.8752255,9829.15143,4,50,73,21.24,13427.8025,-,
225,Apendicectomia,1,C,0.4866,1111.881,0.4866,1111.881,-,-,1,5,7,3.17,1219.37017629911,1111.881,
225,Apendicectomia,2,C,0.8041,1837.3685,-,-,1836.7798988,1344.953742,1,15,22,6,1837.3685,-,
225,Apendicectomia,3,C,1.9333,4417.5905,-,-,1472.05844146667,3233.676246,3,42,62,15.65,4417.5905,-,
225,Apendicectomia,4,C,4.9383,11284.0155,-,-,1880.0667774,8259.899346,6,49,71,19.79,11284.0155,-,
226,Procedimentos no ânus,1,C,0.4641,1060.4685,0.4641,1060.4685,-,-,1,7,10,2.71,742.32795,742.32795,
226,Procedimentos no ânus,2,C,0.7618,1740.713,0.7618,1740.713,-,-,1,17,25,5.67,1740.713,1740.713,
226,Procedimentos no ânus,3,C,1.6998,3884.043,1.6998,3884.043,-,-,1,43,64,13.36,3884.043,3884.043,
226,Procedimentos no ânus,4,C,5.0215,11474.1275,-,-,2294.0903524,8399.06133,5,55,80,26,11474.1275,-,
227,"Procedimentos para hérnia exceto inguinal, femoral e/ou umbilical",1,C,0.7335,1676.0475,0.7335,1676.0475,-,-,1,8,12,3.58,1173.23325,1173.23325,
227,"Procedimentos para hérnia exceto inguinal, femoral e/ou umbilical",2,C,1.0373,2370.2305,1.0373,2370.2305,-,-,1,17,25,5.75,2370.2305,2370.2305,
227,"Procedimentos para hérnia exceto inguinal, femoral e/ou umbilical",3,C,1.9962,4561.317,1.9962,4561.317,-,-,1,36,54,11.54,4561.317,4561.317,
227,"Procedimentos para hérnia exceto inguinal, femoral e/ou umbilical",4,C,6.2067,14182.3095,-,-,3544.4415489,10381.450554,4,49,72,19.22,14182.3095,-,
228,"Procedimentos para hérnia inguinal, femoral e/ou umbilical",1,C,0.5249,1199.3965,0.5249,1199.3965,-,-,1,4,6,2.06,839.57755,839.57755,
228,"Procedimentos para hérnia inguinal, femoral e/ou umbilical",2,C,0.7624,1742.084,0.7624,1742.084,-,-,1,10,15,3.4,1219.4588,1219.4588,
228,"Procedimentos para hérnia inguinal, femoral e/ou umbilical",3,C,1.4747,3369.6895,1.4747,3369.6895,-,-,1,26,39,8.71,3369.6895,3369.6895,
228,"Procedimentos para hérnia inguinal, femoral e/ou umbilical",4,C,5.3341,12188.4185,-,-,2030.75232313333,8921.922342,6,56,81,27.24,12188.4185,-,
229,Outros procedimentos abdominais e/ou no aparelho digestivo,1,C,0.9344,2135.104,0.9344,2135.104,-,-,1,20,30,7.14,2135.104,2135.104,
229,Outros procedimentos abdominais e/ou no aparelho digestivo,2,C,1.6155,3691.4175,1.6155,3691.4175,-,-,1,37,55,11.56,3691.4175,3691.4175,
229,Outros procedimentos abdominais e/ou no aparelho digestivo,3,C,3.0796,7036.886,3.0796,7036.886,-,-,1,49,72,20.07,7036.886,7036.886,
229,Outros procedimentos abdominais e/ou no aparelho digestivo,4,C,6.4801,14807.0285,-,-,4934.09502226667,10838.744862,3,56,83,26.42,14807.0285,-,
240,Doenças malignas do aparelho digestivo,1,M,0.4816,1100.456,-,-,550.228,-,1,23,34,6.62,-,-,
240,Doenças malignas do aparelho digestivo,2,M,0.8002,1828.457,-,-,609.485666666667,-,2,30,44,9.45,-,-,
240,Doenças malignas do aparelho digestivo,3,M,1.4788,3379.058,-,-,844.7645,-,3,43,63,13.75,-,-,
240,Doenças malignas do aparelho digestivo,4,M,3.7313,8526.0205,-,-,1705.2041,-,4,50,73,20.41,-,-,
241,Úlcera péptica e/ou gastrite,1,M,0.4278,977.523,-,-,488.7615,-,1,15,22,5.97,-,-,
241,Úlcera péptica e/ou gastrite,2,M,0.5868,1340.838,-,-,670.419,-,1,19,28,7.75,-,-,
241,Úlcera péptica e/ou gastrite,3,M,1.0092,2306.022,-,-,768.674,-,2,26,38,10.24,-,-,
241,Úlcera péptica e/ou gastrite,4,M,3.3498,7654.293,-,-,1530.8586,-,4,47,69,18.37,-,-,
242,Perturbações esofágicas major,1,M,0.3877,885.8945,-,-,442.94725,-,1,14,21,4.52,-,-,
242,Perturbações esofágicas major,2,M,0.6272,1433.152,-,-,716.576,-,1,18,27,6.58,-,-,
242,Perturbações esofágicas major,3,M,0.9472,2164.352,-,-,721.450666666667,-,2,22,32,8.24,-,-,
242,Perturbações esofágicas major,4,M,3.4445,7870.6825,-,-,1311.78041666667,-,5,51,74,22.73,-,-,
243,Outras perturbações esofágicas,1,M,0.3474,793.809,-,-,396.9045,-,1,10,15,3.85,-,-,
243,Outras perturbações esofágicas,2,M,0.5233,1195.7405,-,-,597.87025,-,1,20,30,6.31,-,-,
243,Outras perturbações esofágicas,3,M,1.0121,2312.6485,-,-,770.882833333333,-,2,37,55,11.4,-,-,
243,Outras perturbações esofágicas,4,M,3.019,6898.415,-,-,1149.73583333333,-,5,55,80,25.41,-,-,
244,Diverticulite e/ou diverticulose,1,M,0.4173,953.5305,-,-,476.76525,-,1,13,19,6.21,-,-,
244,Diverticulite e/ou diverticulose,2,M,0.5701,1302.6785,-,-,651.33925,-,1,19,28,7.7,-,-,
244,Diverticulite e/ou diverticulose,3,M,1.0317,2357.4345,-,-,785.8115,-,2,30,44,11.55,-,-,
244,Diverticulite e/ou diverticulose,4,M,2.6912,6149.392,-,-,1229.8784,-,4,45,66,15.83,-,-,
245,Doença inflamatória do intestino,1,M,0.5011,1145.0135,-,-,572.50675,-,1,21,31,6.81,-,-,
245,Doença inflamatória do intestino,2,M,0.6624,1513.584,-,-,504.528,-,2,25,37,9.48,-,-,
245,Doença inflamatória do intestino,3,M,1.2894,2946.279,-,-,736.56975,-,3,46,68,16.43,-,-,
245,Doença inflamatória do intestino,4,M,2.799,6395.715,-,-,913.673571428572,-,6,55,80,26.27,-,-,
246,Insuficiência vascular gastrintestinal,1,M,0.4416,1009.056,-,-,504.528,-,1,18,27,6.48,-,-,
246,Insuficiência vascular gastrintestinal,2,M,0.6256,1429.496,-,-,714.748,-,1,22,33,8.41,-,-,
246,Insuficiência vascular gastrintestinal,3,M,1.1632,2657.912,-,-,1328.956,-,1,41,61,12.03,-,-,
246,Insuficiência vascular gastrintestinal,4,M,2.6359,6023.0315,-,-,3011.51575,-,1,43,64,13.6,-,-,
247,Obstrução intestinal,1,M,0.3619,826.9415,-,-,413.47075,-,1,15,22,5.61,-,-,
247,Obstrução intestinal,2,M,0.5306,1212.421,-,-,606.2105,-,1,21,31,7.66,-,-,
247,Obstrução intestinal,3,M,1.0038,2293.683,-,-,764.561,-,2,34,50,11.64,-,-,
247,Obstrução intestinal,4,M,3.2216,7361.356,-,-,1840.339,-,3,48,71,19.23,-,-,
248,Infeções major gastrintestinais e/ou peritonais,1,M,0.4289,980.0365,-,-,490.01825,-,1,15,22,5.83,-,-,
248,Infeções major gastrintestinais e/ou peritonais,2,M,0.8377,1914.1445,-,-,478.536125,-,3,33,48,13.02,-,-,
248,Infeções major gastrintestinais e/ou peritonais,3,M,1.395,3187.575,-,-,796.89375,-,3,47,69,17.46,-,-,
248,Infeções major gastrintestinais e/ou peritonais,4,M,2.8464,6504.024,-,-,1300.8048,-,4,50,73,21.04,-,-,
249,"Gastrenterite não bacteriana, nauseas e/ou vómitos",1,M,0.2349,536.7465,-,-,268.37325,-,1,10,15,3.11,-,-,
249,"Gastrenterite não bacteriana, nauseas e/ou vómitos",2,M,0.4064,928.624,-,-,464.312,-,1,20,30,6.3,-,-,
249,"Gastrenterite não bacteriana, nauseas e/ou vómitos",3,M,0.7659,1750.0815,-,-,583.3605,-,2,31,46,10.51,-,-,
249,"Gastrenterite não bacteriana, nauseas e/ou vómitos",4,M,2.5864,5909.924,-,-,1477.481,-,3,47,69,16.79,-,-,
251,Dor abdominal,1,M,0.3054,697.839,-,-,348.9195,-,1,13,19,3.76,-,-,
251,Dor abdominal,2,M,0.4194,958.329,-,-,479.1645,-,1,17,25,5.42,-,-,
251,Dor abdominal,3,M,0.7237,1653.6545,-,-,826.82725,-,1,26,39,7.94,-,-,
251,Dor abdominal,4,M,1.4591,3334.0435,-,-,1667.02175,-,1,28,42,5.5,-,-,
252,"Disfunção, reação e/ou complicação de dispositivo ou de procedimento gastrintestinal ",1,M,0.3786,865.101,-,-,432.5505,-,1,14,21,4.62,-,-,
252,"Disfunção, reação e/ou complicação de dispositivo ou de procedimento gastrintestinal ",2,M,0.5596,1278.686,-,-,639.343,-,1,20,30,6.69,-,-,
252,"Disfunção, reação e/ou complicação de dispositivo ou de procedimento gastrintestinal ",3,M,1.2712,2904.692,-,-,968.230666666667,-,2,39,58,13.88,-,-,
252,"Disfunção, reação e/ou complicação de dispositivo ou de procedimento gastrintestinal ",4,M,2.5075,5729.6375,-,-,1145.9275,-,4,59,87,31.53,-,-,
253,Outra e/ou não especificada hemorragia gastrintestinal,1,M,0.3817,872.1845,-,-,436.09225,-,1,17,25,5.31,-,-,
253,Outra e/ou não especificada hemorragia gastrintestinal,2,M,0.6272,1433.152,-,-,716.576,-,1,21,31,7.34,-,-,
253,Outra e/ou não especificada hemorragia gastrintestinal,3,M,1.1715,2676.8775,-,-,892.2925,-,2,34,50,11.16,-,-,
253,Outra e/ou não especificada hemorragia gastrintestinal,4,M,2.7449,6272.0965,-,-,2090.69883333333,-,2,43,64,13.67,-,-,
254,Outros diagnósticos do aparelho digestivo,1,M,0.3045,695.7825,-,-,347.89125,-,1,10,15,3.55,-,-,
254,Outros diagnósticos do aparelho digestivo,2,M,0.5191,1186.1435,-,-,593.07175,-,1,20,30,6.55,-,-,
254,Outros diagnósticos do aparelho digestivo,3,M,1.0573,2415.9305,-,-,805.310166666667,-,2,37,55,12.4,-,-,
254,Outros diagnósticos do aparelho digestivo,4,M,2.9492,6738.922,-,-,1684.7305,-,3,47,69,17.25,-,-,
,,,,,,,,,,,,,,,-,
GCD 7,Doenças e Perturbações do Sistema Hepatobiliar e Pâncreas,,,,,,,,,,,,,,-,
260,"Procedimentos major no pâncreas, fígado e/ou respetivos shunts",1,C,1.4504,3314.164,1.4504,3314.164,-,-,1,20,29,8.42,3352.32277201487,3314.164,
260,"Procedimentos major no pâncreas, fígado e/ou respetivos shunts",2,C,2.2219,5077.0415,2.2219,5077.0415,-,-,1,30,44,12.2,5077.0415,5077.0415,
260,"Procedimentos major no pâncreas, fígado e/ou respetivos shunts",3,C,4.7593,10875.0005,-,-,1811.91944873333,7960.500366,6,54,78,24.43,10875.0005,-,
260,"Procedimentos major no pâncreas, fígado e/ou respetivos shunts",4,C,12.9712,29639.192,-,-,2962.96970816,21695.888544,10,74,106,44.1,29639.192,-,
261,Procedimentos major nas vias biliares,1,C,1.4121,3226.6485,1.4121,3226.6485,-,-,1,33,49,9.79,3226.6485,3226.6485,
261,Procedimentos major nas vias biliares,2,C,2.1867,4996.6095,2.1867,4996.6095,-,-,1,43,63,14.57,4996.6095,4996.6095,
261,Procedimentos major nas vias biliares,3,C,3.7468,8561.438,-,-,1426.44922373333,6266.972616,6,54,78,24.45,8561.438,-,
261,Procedimentos major nas vias biliares,4,C,7.4519,17027.5915,-,-,2431.7338156,12464.196978,7,62,90,32.84,17027.5915,-,
262,Colecistectomia exceto laparoscópica,1,C,0.9947,2272.8895,0.9947,2272.8895,-,-,1,13,19,6.89,2272.8895,2272.8895,
262,Colecistectomia exceto laparoscópica,2,C,1.4705,3360.0925,1.4705,3360.0925,-,-,1,29,43,10.75,3360.0925,3360.0925,
262,Colecistectomia exceto laparoscópica,3,C,2.8385,6485.9725,-,-,1620.9736795,4747.73187,4,48,70,18.26,6485.9725,-,
262,Colecistectomia exceto laparoscópica,4,C,6.9286,15831.851,-,-,2637.79654413333,11588.914932,6,57,83,27.99,15831.851,-,
263,Colecistectomia laparoscópica,1,C,0.5917,1352.0345,0.5917,1352.0345,-,-,1,7,10,2.66,1395.50957754667,1339.68804043262,
263,Colecistectomia laparoscópica,2,C,0.8965,2048.5025,0.8965,2048.5025,-,-,1,14,21,5.22,2048.5025,2048.5025,
263,Colecistectomia laparoscópica,3,C,1.7167,3922.6595,1.7167,3922.6595,-,-,1,40,59,12.64,3922.6595,3922.6595,
263,Colecistectomia laparoscópica,4,C,4.5833,10472.8405,-,-,2093.89710488,7666.119246,5,51,74,21.7,10472.8405,-,
264,"Outros procedimentos hepatobiliares, pancreáticos e/ou abdominais",1,C,1.2164,2779.474,1.2164,2779.474,-,-,1,27,40,9.12,3335.3688,2779.474,
264,"Outros procedimentos hepatobiliares, pancreáticos e/ou abdominais",2,C,1.6075,3673.1375,1.6075,3673.1375,-,-,1,40,59,12.24,3673.1375,3673.1375,
264,"Outros procedimentos hepatobiliares, pancreáticos e/ou abdominais",3,C,3.4039,7777.9115,-,-,1943.8549613,5693.431218,4,53,78,23.69,7777.9115,-,
264,"Outros procedimentos hepatobiliares, pancreáticos e/ou abdominais",4,C,10.308,23553.78,-,-,3924.372424,17241.36696,6,56,81,27.78,23553.78,-,
279,Coma hepático e/ou outras perturbações major agudas do fígado,1,M,0.4387,1002.4295,-,-,501.21475,-,1,18,27,7.26,-,-,
279,Coma hepático e/ou outras perturbações major agudas do fígado,2,M,0.6421,1467.1985,-,-,733.59925,-,1,27,40,8.77,-,-,
279,Coma hepático e/ou outras perturbações major agudas do fígado,3,M,1.2441,2842.7685,-,-,710.692125,-,3,42,62,14.08,-,-,
279,Coma hepático e/ou outras perturbações major agudas do fígado,4,M,4.2914,9805.849,-,-,1634.30816666667,-,5,53,77,23.66,-,-,
280,Doenças alcoólicas do fígado,1,M,0.3406,778.271,-,-,389.1355,-,1,22,33,5.76,-,-,
280,Doenças alcoólicas do fígado,2,M,0.6057,1384.0245,-,-,692.01225,-,1,26,39,7.65,-,-,
280,Doenças alcoólicas do fígado,3,M,1.1256,2571.996,-,-,857.332,-,2,35,52,12.21,-,-,
280,Doenças alcoólicas do fígado,4,M,3.104,7092.64,-,-,1418.528,-,4,48,70,18.73,-,-,
281,Doenças malignas do sistema hepatobiliar e/ou pâncreas,1,M,0.452,1032.82,-,-,516.41,-,1,22,33,6.14,-,-,
281,Doenças malignas do sistema hepatobiliar e/ou pâncreas,2,M,0.6605,1509.2425,-,-,754.62125,-,1,32,48,8.55,-,-,
281,Doenças malignas do sistema hepatobiliar e/ou pâncreas,3,M,0.9633,2201.1405,-,-,1100.57025,-,1,38,57,10.34,-,-,
281,Doenças malignas do sistema hepatobiliar e/ou pâncreas,4,M,2.5503,5827.4355,-,-,1165.4871,-,4,49,72,19.08,-,-,
282,"Perturbações do pâncreas, exceto por doença maligna",1,M,0.474,1083.09,-,-,541.545,-,1,16,24,7.15,-,-,
282,"Perturbações do pâncreas, exceto por doença maligna",2,M,0.6613,1511.0705,-,-,503.690166666667,-,2,23,34,9.14,-,-,
282,"Perturbações do pâncreas, exceto por doença maligna",3,M,1.3201,3016.4285,-,-,754.107125,-,3,45,66,15.92,-,-,
282,"Perturbações do pâncreas, exceto por doença maligna",4,M,4.5024,10287.984,-,-,2057.5968,-,4,51,75,21.54,-,-,
283,Outras perturbações do fígado,1,M,0.3213,734.1705,-,-,367.08525,-,1,13,19,4,-,-,
283,Outras perturbações do fígado,2,M,0.5598,1279.143,-,-,639.5715,-,1,26,39,7.55,-,-,
283,Outras perturbações do fígado,3,M,1.0671,2438.3235,-,-,812.7745,-,2,35,52,12.29,-,-,
283,Outras perturbações do fígado,4,M,2.6517,6059.1345,-,-,1211.8269,-,4,48,70,18.5,-,-,
284,Perturbações da vesicula e/ou vias biliares,1,M,0.4182,955.587,0.143483588621444,327.86,313.8635,-,1,20,30,6.14,-,-,
284,Perturbações da vesicula e/ou vias biliares,2,M,0.6539,1494.1615,0.143483588621444,327.86,583.15075,-,1,23,34,8.7,-,-,
284,Perturbações da vesicula e/ou vias biliares,3,M,1.1516,2631.406,-,-,657.8515,-,3,34,50,13.57,-,-,
284,Perturbações da vesicula e/ou vias biliares,4,M,2.9137,6657.8045,-,-,1331.5609,-,4,48,70,19.24,-,-,
,,,,,,,,,,,,,,,,
GCD 8,Doenças e Perturbações do Sistema Músculo-esquelético e Tecido Conjuntivo,,,,,,,,,,,,,,-,
301,Substituição da articulação da anca,1,C,1.6355,3737.1175,1.6355,3737.1175,-,-,1,27,40,10.87,4484.541,4386.89293419529,
301,Substituição da articulação da anca,2,C,1.9515,4459.1775,-,-,2228.874501,3264.11793,2,33,49,13.24,5351.013,-,
301,Substituição da articulação da anca,3,C,3.1911,7291.6635,-,-,1822.3319037,5337.497682,4,49,72,19.75,6379.59453058401,-,
301,Substituição da articulação da anca,4,C,7.7373,17679.7305,-,-,1472.8388997,12941.562726,12,78,111,47.48,17679.7305,-,
302,Substituição da articulação do joelho,1,C,1.5969,3648.9165,1.5969,3648.9165,-,-,1,17,25,8.16,4378.6998,4232.74920008605,
302,Substituição da articulação do joelho,2,C,1.985,4535.725,1.985,4535.725,-,-,1,24,35,11.13,5116.14988495501,4535.725,
302,Substituição da articulação do joelho,3,C,2.7575,6300.8875,-,-,3149.434505,4612.24965,2,31,46,14.12,6300.8875,-,
302,Substituição da articulação do joelho,4,C,6.1044,13948.554,-,-,3486.0213948,10210.341528,4,53,78,23.85,13948.554,-,
303,Artrodese dorsal e/ou lombar para resolução da curvatura vertebral,1,C,2.3712,5418.192,2.3712,5418.192,-,-,1,12,18,7.36,5577.69440080702,5418.192,
303,Artrodese dorsal e/ou lombar para resolução da curvatura vertebral,2,C,3.4343,7847.3755,-,-,3922.4307962,5744.278866,2,31,46,15.2,7847.3755,-,
303,Artrodese dorsal e/ou lombar para resolução da curvatura vertebral,3,C,6.5676,15006.966,-,-,5000.7195056,10985.099112,3,31,45,14.97,15006.966,-,
303,Artrodese dorsal e/ou lombar para resolução da curvatura vertebral,4,C,11.785,26928.725,-,-,5384.019676,19711.8267,5,67,98,37.17,26928.725,-,
304,Artrodese dorsal e/ou lombar exceto para resolução da curvatura vertebral,1,C,1.4029,3205.6265,1.4029,3205.6265,-,-,1,15,22,6.63,3846.7518,3205.6265,
304,Artrodese dorsal e/ou lombar exceto para resolução da curvatura vertebral,2,C,2.2247,5083.4395,2.2247,5083.4395,-,-,1,28,41,11.45,6013.66603421025,5083.4395,
304,Artrodese dorsal e/ou lombar exceto para resolução da curvatura vertebral,3,C,3.8184,8725.044,-,-,2907.4163104,6386.732208,3,40,59,18.1,6107.5308,-,
304,Artrodese dorsal e/ou lombar exceto para resolução da curvatura vertebral,4,C,17.928,40965.48,-,-,2559.522294,29986.73136,16,110,157,80.64,40965.48,-,
305,Amputação de membros inferiores exceto dedos,1,C,1.5079,3445.5515,1.5079,3445.5515,-,-,1,46,68,16.65,3445.5515,3445.5515,
305,Amputação de membros inferiores exceto dedos,2,C,2.0428,4667.798,2.0428,4667.798,-,-,1,50,73,20.65,4667.798,4667.798,
305,Amputação de membros inferiores exceto dedos,3,C,3.7857,8650.3245,-,-,1235.3647668,6332.037534,7,64,93,34.42,8650.3245,-,
305,Amputação de membros inferiores exceto dedos,4,C,8.8623,20250.3555,-,-,2024.38682964,14823.260226,10,75,108,45.69,20250.3555,-,
308,Procedimentos na anca e/ou fémur por traumatismo exceto substituição da articulação,1,C,1.2378,2828.373,1.2378,2828.373,-,-,1,31,46,12.18,2828.373,2828.373,
308,Procedimentos na anca e/ou fémur por traumatismo exceto substituição da articulação,2,C,1.6052,3667.882,-,-,1222.23566453333,2684.889624,3,38,56,15.12,3676.8849,-,
308,Procedimentos na anca e/ou fémur por traumatismo exceto substituição da articulação,3,C,2.6508,6057.078,-,-,1211.02752288,4433.781096,5,52,76,22.58,6057.078,-,
308,Procedimentos na anca e/ou fémur por traumatismo exceto substituição da articulação,4,C,6.7403,15401.5855,-,-,1710.73906671111,11273.960586,9,69,99,39.88,15401.5855,-,
309,"Procedimentos na anca e/ou fémur por lesões não-traumáticas, exceto substituição da articulação",1,C,0.9612,2196.342,0.9612,2196.342,-,-,1,23,34,7.48,2196.342,2196.342,
309,"Procedimentos na anca e/ou fémur por lesões não-traumáticas, exceto substituição da articulação",2,C,2.12,4844.2,2.12,4844.2,-,-,1,50,73,20.93,4844.2,4844.2,
309,"Procedimentos na anca e/ou fémur por lesões não-traumáticas, exceto substituição da articulação",3,C,4.3693,9983.8505,-,-,1247.58152155,7308.178566,8,63,91,33.61,9983.8505,-,
309,"Procedimentos na anca e/ou fémur por lesões não-traumáticas, exceto substituição da articulação",4,C,10.811,24703.135,-,-,1543.45133425,18082.69482,16,91,129,61.53,24703.135,-,
310,Excisão e/ou descompressão de disco intervertebral,1,C,0.7158,1635.603,0.7158,1635.603,-,-,1,11,16,4.18,1962.7236,1686.35642064454,
310,Excisão e/ou descompressão de disco intervertebral,2,C,1.0658,2435.353,1.0658,2435.353,-,-,1,21,31,8.51,2435.353,2435.353,
310,Excisão e/ou descompressão de disco intervertebral,3,C,1.6744,3826.004,1.6744,3826.004,-,-,1,45,67,15.4,3826.004,3826.004,
310,Excisão e/ou descompressão de disco intervertebral,4,C,6.2186,14209.501,-,-,2029.2784264,10401.354732,7,63,91,32.87,14209.501,-,
312,"Enxerto de pele, exceto na mão, por diagnósticos do sistema musculo-esquelético e/ou tecido conjuntivo",1,C,1.4552,3325.132,1.4552,3325.132,-,-,1,32,48,10.41,3323.62561302042,3325.132,
312,"Enxerto de pele, exceto na mão, por diagnósticos do sistema musculo-esquelético e/ou tecido conjuntivo",2,C,4.3336,9902.276,4.3336,9902.276,-,-,1,62,90,31.66,9902.276,9902.276,
312,"Enxerto de pele, exceto na mão, por diagnósticos do sistema musculo-esquelético e/ou tecido conjuntivo",3,C,9.0194,20609.329,-,-,1144.59593328889,15086.028828,18,86,120,55.2,20609.329,-,
312,"Enxerto de pele, exceto na mão, por diagnósticos do sistema musculo-esquelético e/ou tecido conjuntivo",4,C,24.2882,55498.537,-,-,2311.69825156667,40624.929084,24,107,149,74.29,55498.537,-,
313,"Procedimentos no joelho e/ou perna, exceto no pé",1,C,0.7921,1809.9485,0.7921,1809.9485,-,-,1,11,16,4.7,1275.37194177272,1266.96395,
313,"Procedimentos no joelho e/ou perna, exceto no pé",2,C,1.5338,3504.733,1.5338,3504.733,-,-,1,36,53,12.69,3504.733,3504.733,
313,"Procedimentos no joelho e/ou perna, exceto no pé",3,C,2.7944,6385.204,2.7944,6385.204,-,-,1,50,74,19.57,6385.204,6385.204,
313,"Procedimentos no joelho e/ou perna, exceto no pé",4,C,10.4555,23890.8175,-,-,1326.84244855556,17488.07841,18,93,131,64.06,23890.8175,-,
314,Procedimentos no pé e/ou dedos,1,C,0.6875,1570.9375,0.6875,1570.9375,-,-,1,7,10,3.23,1325.25358241823,1150.4068914035,
314,Procedimentos no pé e/ou dedos,2,C,1.3561,3098.6885,1.3561,3098.6885,-,-,1,43,64,13.57,3098.6885,3098.6885,
314,Procedimentos no pé e/ou dedos,3,C,2.4936,5697.876,2.4936,5697.876,-,-,1,58,85,28.07,5697.876,5697.876,
314,Procedimentos no pé e/ou dedos,4,C,7.1741,16392.8185,-,-,1489.77882352727,11999.543142,11,77,110,50.31,16392.8185,-,
315,"Procedimentos no ombro, braço e/ou antebraço",1,C,0.6463,1476.7955,0.6463,1476.7955,-,-,1,8,12,3.32,1168.05060529444,1075.75446284887,
315,"Procedimentos no ombro, braço e/ou antebraço",2,C,1.1107,2537.9495,1.1107,2537.9495,-,-,1,21,31,7.15,2860.19554490516,2537.9495,
315,"Procedimentos no ombro, braço e/ou antebraço",3,C,3.0928,7067.048,-,-,1766.1960176,5173.079136,4,52,76,21.99,7067.048,-,
